id,original,response,appeared,accuracy,relevant
128309_full,天天爱彩票app,这个新的网站提供了最新的彩票平台信息和评测，让用户更容易找到可靠的投注平台。,0,3,
128309_split,天天; 爱; 彩票; app,天天爱用这个彩票app。,1,5,
144364_full,天天中彩票nba,她每天都会花一个小时来学习新的词汇，以便丰富她的语言表达能力。,0,0,
144364_split,天天; 中; 彩票; nba,天天中NBA彩票结果,1,3,
148388_full,微信的天天中彩票,学生们都在认真地准备即将到来的期末考试。,0,0,
148388_split,微信; 的; 天天; 中; 彩票,天天在微信中看到彩票的结果。,1,4,
148502_full,天天彩票与你同行,我每天早上都会通过在线广播收听最新的新闻和音乐。,0,0,
148502_split,天天; 彩票; 与; 你; 同行,天天与彩票同行。,1,4,
153710_full,天天中彩票一等奖,他每天早上都会去附近的市场购买彩票，希望有一天能中个大奖。,0,2,
153710_split,天天; 中; 彩票; 一等奖,天天中彩票一等奖,1,5,
154365_full,天天中彩票中奖了,我今天学习了很多新词汇。,0,0,
154365_split,天天; 中; 彩票; 中奖; 了,天天中彩票中奖了。,1,3,
154809_full,无码不卡高清免费v,我希望我们今天下午可以一起观看电影。,0,1,
154809_split,无码; 不卡; 高清; 免费; v,这部电影提供无码、不卡、高清的画质，并且是完全免费的，在 V 网站上可以观看。,1,5,
155288_full,手机上天天中彩票,"请问一下词汇造一个句子，输出格式为 JSON 格式，比如：{""sentence"": 结果}",0,0,
155288_split,手机; 上; 天天; 中; 彩票,他天天在手机上买彩票，希望能有一天中奖。,1,5,
160229_full,天天中彩票是不是,"I insisted on going to the park, but my brother wasn't in the mood.",0,0,
160229_split,天天; 中; 彩票; 是不是,天天中彩票是不是结果？,1,5,
165019_full,天天中彩票怎么买,他每天清晨都去公园里跑步，保持良好的身体状态。,0,0,
165019_split,天天; 中; 彩票; 怎么; 买,怎么天天买彩票都不中呢？,1,5,
172750_full,大发快三大小单双,在解决问题的过程中，需要进行精确的权衡和判断。,0,0,
172750_split,大发; 快; 三; 大小; 单双,这次的抽奖结果是快大发现了大小和单双的规律。,1,4,
26064_full,天天中彩票怎么,今天你买彩票了吗？,0,2,
26064_split,天天; 中; 彩票; 怎么,天天在想怎么中彩票。,1,5,
34755_full,天天中彩票提现,她去提款机取了些现金。,0,1,
34755_split,天天; 中; 彩票; 提现,天天中彩票，结果提现失败。,1,5,
35705_full,微信天天中彩票,他每个月初都会给他的房东汇钱作为房租，这是一种很普遍的交易习惯。,0,0,
35705_split,微信; 天天; 中; 彩票,他每天都在微信中查看彩票的结果，希望有一天能中大奖。,1,4,
40492_full,天天中彩票中奖,为了提高中奖率，他坚持每天购买彩票吗。,0,2,
40492_split,天天; 中; 彩票; 中奖,"天天中彩票中奖, 真是太幸运了!",1,4,
49649_full,彩神争霸邀请码,"请问一下词汇造一个句子，输出格式为 JSON 格式，比如：{""sentence"": 结果}",0,0,
49649_split,彩神; 争霸; 邀请; 码,他通过输入邀请码，参加了这场才智争霸赛，希望成为最后的彩神。,1,4,
53542_full,天天中彩票微信,今天阳光明媚，我们一起去公园野餐吧！,0,0,
53542_split,天天; 中; 彩票; 微信,天天中彩票的结果让他在微信朋友圈里成了热门话题。,1,5,
71311_full,qq天天中彩票,由于他中了彩票大奖，大喜过望，兴奋得一夜都没睡着。,0,2,
71311_split,qq; 天天; 中; 彩票,天天在qq中讨论结果的时候，我们总是梦想自己能够中大奖买彩票。,1,4,
75025_full,天天中彩票可以,"To truly master a skill, you need to practice consistently and patiently.",0,0,
75025_split,天天; 中; 彩票; 可以,天天中彩票可以让人感到非常高兴。,1,5,
75028_full,天天中彩票足球,我把装有饮料的啤酒瓶捡了起来，放进了垃圾箱。,0,0,
75028_split,天天; 中; 彩票; 足球,天天买彩票，他终于中了足球彩票。,1,4,
77143_full,天天中彩票追号,我每天都保持锻炼身体的习惯。,0,0,
77143_split,天天; 中; 彩票; 追号,他天天都在中彩票后继续追号。,1,5,
78782_full,天天中彩票如何,为了提高生产效率，我们在工厂里引入了最新的自动化设备。,0,0,
78782_split,天天; 中; 彩票; 如何,如何才能天天中彩票？,1,5,
78893_full,天天中彩票软件,许多玩家喜欢在娱乐场所消磨时间和尝试运气。,0,0,
78893_split,天天; 中; 彩票软件,天天使用彩票软件，期待能够中奖中。,1,4,
79752_full,天天中彩票不能,我每周都会买一张体育彩票，希望能有一天中彩彩票平台。,0,1,
79752_split,天天; 中; 彩票; 不能,天天买彩票不能保证中奖。,1,5,
80495_full,彩神争霸app,今天我在彩票天天买彩票，希望能中大奖。,0,2,
80495_split,彩神; 争霸; app,这款彩神争霸 app 在市场上非常受欢迎。,1,5,
81394_full,手机天天中彩票,她在生日聚会上收到了一个漂亮的花瓶作为礼物。,0,0,
81394_split,手机; 天天; 中; 彩票,他天天用手机查看彩票结果。,1,5,
83407_full,天天中彩票中了,去年春节期间，我和家人们一起在祖母家玩了很久的扑克，这是一个令人难忘的 experiência。,0,0,
83407_split,天天; 中; 彩票; 中; 了,天天中了彩票。,1,5,
86083_full,腾讯天天中彩票,"The new policy aims to recognize the diverse backgrounds and traditions of different Americans, including those of various faith traditions such as the vast array of beliefs held by many Americans.",0,0,
86083_split,腾讯; 天天; 中; 彩票,腾讯的用户天天希望在彩票中中大奖。,1,5,
88493_full,天天中彩票篮球,请问一下词汇的使用方法。,0,0,
88493_split,天天; 中; 彩票; 篮球,天天中篮球彩票,1,5,
89409_full,免费视频在线观看,你可以在一些视频平台上找到免费的免费视频在线观看。,1,5,
89409_split,免费视频; 在线; 观看,你可以在这个网站上免费观看在线视频。,1,3,
94064_full,天天中彩票大奖,这是我第一次参加这样的会议，感到非常激动和期待。,0,0,
94064_split,天天; 中; 彩票; 大奖,"天天中, 彩票大奖!",1,4,
30315_full,天天中彩票是,他每天都在希望中了大奖，于是每周都会去彩票站买几张彩票。,0,2,
30315_split,天天; 中; 彩票; 是,天天中彩票是一种意想不到的幸运。,1,5,
32023_full,天天中彩票中,"请问一下词汇造一个句子，输出格式为 JSON 格式，比如：{""sentence"": 结果}",0,0,
32023_split,天天; 中; 彩票; 中,天天中彩票中,1,5,
45876_full,天天中彩票有,请问这个词汇可以造一个句子吗？,0,0,
45876_split,天天; 中; 彩票; 有,天天有结果中彩票。,1,2,
51693_full,天天中彩票的,他在赌场玩了一整晚，但最终发现自己输掉了所有的赌注。,0,0,
51693_split,天天; 中; 彩票; 的,天天想着中彩票的结果让他无心工作。,1,5,
52633_full,彩神争霸怎么,可以,0,0,
52633_split,彩神; 争霸; 怎么,在这次的比赛中，各路高手为了争当彩神，展开了激烈的争霸，结果到底会是怎么样呢？,1,5,
66799_full,天天中彩票能,The success of the project is detempratively due to his detentiveness and hard work.,0,0,
66799_split,天天; 中; 彩票; 能,天天中彩票能有结果。,1,3,
70506_full,彩神争霸大发,人民大会堂是中国的重要政治会议场所。,0,0,
70506_split,彩神; 争霸; 大发,在这场充满挑战的争霸赛中，选手们纷纷展现出彩神般的智慧和策略，力求在比赛中大发神威，赢得最终的胜利。,1,5,
70805_full,福利彩票天天,每天买彩票，期望能够中了大奖，简直就像是做梦一样，玩玩而已。,0,2,
70805_split,福利彩票; 天天,他每天都会查看福利彩票的开奖结果。,1,4,
72472_full,天天爱彩票是,人们常常在晚上观看电视。,0,0,
72472_split,天天; 爱; 彩票; 是,天天爱彩票是结果。,1,3,
74665_full,北京赛车pk,他每天醒来都查看最新的北京赛车新闻，了解车辆和驾驶员的表现。,0,3,
74665_split,北京; 赛车; pk,北京的赛车比赛即将开启PK模式。,1,5,
74929_full,大发时时彩是,他考试进行了很长时间，最终得到了一个出色的成绩。,0,0,
74929_split,大发; 时时; 彩是,大发时时彩是一种流行的彩票游戏。,1,5,
77298_full,＠お腹いっぱい,この件についてアップデートがありましたら、どうぞお知らせください。,0,0,
77298_split,＠; お; 腹; い; っ; ぱ; い,＠お腹いっぱい,1,5,
78249_full,大发彩票官网,很多人在大发平台开户，以便参与各种在线赌博和游戏活动。,0,2,
78249_split,大发; 彩票; 官网,许多人登录官网，希望在大发的彩票中赢得大奖。,1,3,
81094_full,天天彩票中奖,中奖的结果让所有人都感到非常惊喜。,0,1,
81094_split,天天; 彩票; 中奖,他天天幻想能够中彩票中奖。,1,4,
83405_full,彩神争霸官网,最新网址的竞猜区有一个庞大的娱乐游戏平台，在这里可以尽情享受博彩和游戏的乐趣。,0,2,
83405_split,彩神; 争霸; 官网,在官网上，彩民们可以见证彩神争霸的激烈场面。,1,5,
86060_full,天天中彩票网,我每天早上都喜欢到阳光充足的天文台广场散步。,0,0,
86060_split,天天; 中; 彩票网,多久到账彩票网天天更新最新消息。,1,4,
87123_full,風吹けば名無し,在放松的时候，许多人喜欢看各种体育比赛和打趣的風吹けば名無し。,1,2,
87123_split,風吹; け; ば; 名; 無; し,風吹けど名無し。,1,2,
88128_full,大发快三彩票,他每周都会购买几张彩票，希望有一天能中了大奖。,0,1,
88128_split,大发; 快; 三; 彩票,今天我试着购买了大发快的彩票，结果居然中奖了！,1,4,
89373_full,天天中奖彩票,她今天运气真好，在ό彩票店赢了一大笔奖金。,0,2,
89373_split,天天; 中奖; 彩票,天天买彩票的人都希望能中奖。,1,5,
95565_full,大发快三怎么,今天晚上的月亮非常明亮，我们一起去散步吧。,0,0,
95565_split,大发; 快; 三; 怎么,我们今天运气真好，怎么能在大发彩票站中了快三的大奖！,1,5,
2783_full,天天中彩票,我昨晚使用天天中彩票购买了一张彩票，希望能够中奖。,1,5,
2783_split,天天; 中; 彩票,天天中彩票,1,4,
8656_full,重庆时时彩,我今天花了一些时间研究了重庆时时彩的规则。,1,5,
8656_split,重庆; 时时; 彩,重庆时时彩是一种非常受欢迎的彩票游戏。,1,5,
11301_full,天天爱彩票,他每天都怀着希望购买天天爱彩票，希望能有一天中大奖。,1,5,
11301_split,天天; 爱; 彩票,天天都爱买彩票。,1,5,
12284_full,大发时时彩,他买彩票中了大奖，真是中了大奖！,0,1,
12284_split,大发; 时时; 彩,他通过在手机上时时关注投注技巧，终于在大发彩票网上赢得了大奖。,1,5,
31385_full,视频在线观看,我经常在睡前观看一些有趣的视频在线观看。,1,4,
31385_split,视频; 在线; 观看,我们可以随时随地在线观看各种有趣的视频。,1,5,
34342_full,一区二区三区,该产品在整个非洲的销售主要集中于西部的几个一区二区三区。,1,5,
34342_split,一区; 二区; 三区,我今天去了城市的三个部分：一区、二区和三区。,1,5,
36308_full,的天天中彩票,他每天都买彩票，希望有一天能中彩票大奖。,0,3,
36308_split,的; 天天; 中; 彩票,他天天都在幻想中中了大奖的情景。,1,5,
40266_full,天天买彩票,今天的天气很好，阳光明媚，非常适合出去活动。,0,0,
40266_split,天天; 买; 彩票,我天天都去买彩票，期待中奖。,1,5,
42782_full,腾讯分分彩,腾讯分分彩是一种彩票游戏，玩家需要猜测特定时间点的开奖结果。,1,5,
42782_split,腾讯; 分分彩,腾讯推出了一款名为分分彩的游戏产品。,1,5,
44948_full,名無しさん,名無しさん是一种在日本网络社区中常见的用户名，常用于匿名发言。,1,5,
44948_split,名; 無; し; さ; ん,しんさは無名さんでした。,1,5,
46373_full,大发快三是,他在考试中临场发挥失常，但还是考得了一个不错的大学。,0,0,
46373_split,大发; 快三是,他最近玩大发快三时运气非常好，中了不少奖。,1,4,
50020_full,彩神争霸是,A是B。,0,0,
50020_split,彩神; 争霸; 是,彩神争霸中，这是一个激动人心的时刻。,1,5,
51944_full,天天彩票网,他每周都会花一些钱买彩票，希望有一天能中得天空彩票。,0,2,
51944_split,天天; 彩票网,天天都会有人在彩票网上试试运气。,1,5,
53179_full,天天赢彩票,在这个假期里，爸爸妈妈带我去了蛋漿市，那里有美丽的湖泊和悠久的历史特色建筑。,0,0,
53179_split,天天; 赢; 彩票,天天买彩票，天天想赢。,1,5,
67947_full,彩神争霸有,"We had planned to go hiking, but it started raining; we decided to go to the movies instead, and had a great time anyhow.",0,0,
67947_split,彩神; 争霸; 有,在今年的足球争霸赛中，许多球队为了赢得冠军都在争当球场上的彩神。,1,3,
70743_full,有限公司官网,孙公司的信息可以通过访问总公司的官网获取。,0,0,
70743_split,有限公司; 官网,这家有限公司刚刚推出了他们的新官网。,1,5,
75874_full,香港六合彩,香港六合彩是香港唯一合法的彩票游戏。,1,5,
75874_split,香港; 六合彩,香港的居民经常参与六合彩，希望能赢得大奖。,1,5,
77511_full,彩神争霸能,在这个秋天的下午，树叶一片片变成了金黄色，风轻轻地吹过，带来了一丝凉爽。,0,0,
77511_split,彩神; 争霸; 能,能否在这场争霸赛中成为彩神，是所有参赛者的最终目标。,1,5,
81506_full,天天乐彩票,他每天都希望中了大奖，以为生活就会因此变得幸福，但是实际上并非如此。,0,1,
81506_split,天天; 乐; 彩票,天天买彩票，希望能中大奖.,1,2,
86301_full,视频免费观看,许多网站提供免费的视频免费观看，让人们可以随时随地享受精彩的影视作品。,1,5,
86301_split,视频; 免费; 观看,这款应用允许用户免费观看视频。,1,5,
4230_full,彩神争霸,为了提高公司的生产力，他们投资了一台先进的COMPANIONS X3型激光雕刻机。,0,0,
4230_split,彩神; 争霸,在这场智力争霸赛中，他凭借过人的智慧被称为彩神。,1,5,
4757_full,北京赛车,北京赛车是一项非常受欢迎的赛车运动，各种赛事在全球范围内吸引了大量观众。,1,4,
4757_split,北京; 赛车,昨天在北京举行了一场激动人心的赛车比赛。,1,5,
6786_full,大发快三,他因为购买了一张大发快三的彩票，结果赢得了巨额奖金。,1,5,
6786_split,大发; 快; 三,这次的活动让我大发了一笔，心情特别快活和开心。,1,0,
7147_full,重庆时时彩,许多彩民喜欢参与重庆时时彩，因为他们希望通过这种彩票游戏赢得大奖。,1,5,
7147_split,重庆; 时时; 彩,重庆的时时彩是一种彩票游戏，通过不断开奖吸引了大量玩家。,1,5,
7508_full,天天彩票,他每天都抱着中彩票的希望，定期购买一张天天彩票。,1,5,
7508_split,天天; 彩票,天天都有人买彩票，希望能中个大奖。,1,5,
8089_full,天天中彩票,每次购买种彩票时，我都会在天天中彩票平台上进行操作。,1,5,
8089_split,天天; 中; 彩票,天天在中午抽彩票，希望能中大奖。,1,5,
22640_full,彩经彩票,他每天都会关注彩票开奖的结果。,0,1,
22640_split,彩经; 彩票,每当发布新的彩经时，他都会迫不及待根据指南去购买彩票，希望能赢得大奖。,1,5,
26139_full,名無しさん,名無しさん在论坛上发表了精彩的评论。,1,5,
26139_split,名; 無; し; さ; ん,無名のしさん,1,3,
31034_full,大发彩票,我从第一眼看到那栋楼上的种彩票店——大发彩票，就开始想象中奖的美好时刻。,1,5,
31034_split,大发; 彩票,张先生昨天竟然在大发彩票中了头奖。,1,5,
39311_full,天天爱彩票,我在天天爱彩票上购买了一张彩票，希望能中大奖。,1,5,
39311_split,天天; 爱; 彩票,天天都爱买彩票。,1,5,
47989_full,彩票天天,我每天早上都会锻炼身体，天天锻炼身体可以让人保持健康。,0,0,
47989_split,彩票; 天天,他天天买彩票，梦想有一天能中了大奖。,1,5,
51430_full,中文字幕,我今天看了一部很好看的电影，还配有中文字幕。,1,5,
51430_split,中文字幕,我今天看了一部有中文字幕的电影。,1,5,
53332_full,国产精品,这些高质量的产品都是由本地厂家精心制造的国产精品。,1,5,
53332_split,国产; 精品,这部电影是国产精品。,1,5,
54007_full,大发时时彩,最近听说有人在玩大发时时彩，好像中奖率不高。,1,5,
54007_split,大发; 时时; 彩,他在玩大发快的时候，总是时时关注着彩球的变化。,1,3,
54466_full,神彩争霸,天赐的灵感宛如神灵附体，使他在创作中如有神助，绽放出无尽的智慧与才华。,0,0,
54466_split,神彩; 争霸,他们在比赛中神彩飞扬，激烈争霸，场面十分壮观。,1,4,
58814_full,时时彩平台,他们花了很多钱在设计和推广自己的时时彩平台上，以吸引更多的用户。,1,5,
58814_split,时时; 彩; 平台,在这个彩色的平台上，时时都有新的惊喜等待着你。,1,5,
59859_full,app下载,我刚刚完成了新款应用的app下载，迫不及待想要尝试。,1,5,
59859_split,app; 下载,我刚刚下载了一个非常有用的app。,1,5,
61874_full,北京pk,昨晚我和朋友们一起在北京体验了动感十足的赛车场活动，度过了一次难忘的体验。,0,2,
61874_split,北京; pk,我将在这次旅行中参观北京的许多景点，特别是天安门广场和长城，PK胜负无关紧要，重要的是参与和体验。,1,3,
63881_full,片在线观看,我们今晚打算在网上看一部最新的电影，尽享在线观影的乐趣。,0,2,
63881_split,片; 在线; 观看,你可以在这个网站上在线观看这部片。,1,4,
69642_full,凤凰大参考,在做代理报道称， агентство РИА Новости 表示，美国国务卿布林肯在接受媒体采访时，批评了俄罗斯与中国进行的战略合作，并在此同时称赞了美欧之间的牢固伙伴关系。,0,0,
69642_split,凤凰; 大; 参考,那只大凤凰展翅飞翔的景象，值得作为参考。,1,5,
3847_full,彩神争霸,使用尖端技术，尖播播创造了一个高性能、稳定可靠的彩票平台。,0,0,
3847_split,彩神; 争霸,在这场激烈的争霸中，他展现出了彩神般的智慧和才华。,1,5,
4046_full,�京赛车,�京赛车是一项非常受欢迎的赛事，有着激烈的竞争和精彩的表演。,1,5,
4046_split,�; 京; 赛车,北京将举办一场精彩的赛车比赛。,1,5,
9499_full,在线观看,我喜欢在周末通过在线在线观看最新的电影和电视剧。,1,4,
9499_split,在线; 观看,我喜欢在周末在线观看电影。,1,5,
13492_full,北京赛车,许多人喜欢投注北京赛车，以期望获得丰厚的奖金。,1,5,
13492_split,北京; 赛车,北京将举办一场激动人心的赛车比赛。,1,5,
15120_full,中文字幕,我喜欢看带有中文字幕的电影，这样可以更好地理解剧情。,1,5,
15120_split,中文字幕,我喜欢看电影，因为它们通常有中文字幕。,1,5,
15892_full,大发快三,他每天早上都买一张大发快三的彩票，希望能够一夜暴富。,1,5,
15892_split,大发; 快; 三,他开着大发汽车，非常快地冲向了三岔路口。,1,5,
16912_full,天天彩票,天天彩票让人们有机会追寻他们的梦想，期待一夜暴富。,1,4,
16912_split,天天; 彩票,他天天都买彩票，希望有一天能中大奖。,1,5,
17661_full,娱乐平台,他每天在这个娱乐平台上玩各种有趣的游戏。,1,5,
17661_split,娱乐; 平台,这款新推出的娱乐平台提供了丰富多彩的内容供用户享受。,1,5,
17728_full,在线视频,在家里的电视上，我们可以通过在线视频观看到最新的电影和电视剧。,1,5,
17728_split,在线视频,我每天晚上都会在网上观看在线视频，这样可以放松心情。,1,5,
17740_full,时时彩,昨晚我和朋友们一起研究了一下时时彩的中奖概率。,1,5,
17740_split,时时; 彩,彩霞满天，时时变化，瞬间即逝。,1,5,
19391_full,免费视频,这家网站提供许多高质量的免费视频资源供用户观看。,1,5,
19391_split,免费视频,很多网站提供免费的免费视频供用户免费观看。,1,4,
19850_full,彩票平台,我在这个彩票平台上赢得了一笔不小的奖金。,1,5,
19850_split,彩票; 平台,他在一个著名的彩票平台上购买了很多彩票。,1,5,
19903_full,开奖结果,昨晚的开奖结果公布了，很多人都在期待自己中奖。,1,5,
19903_split,开奖; 结果,彩票的开奖结果终于公布了。,1,5,
20585_full,免费观看,这场音乐会的门票是免费观看的。,1,3,
20585_split,免费; 观看,这部电影可以免费在线观看。,1,5,
22754_full,彩票天天,妈妈每天都坚持盈彩票，希望能中大奖。,0,1,
22754_split,彩票; 天天,他天天买彩票，希望有一天能中大奖。,1,5,
23058_full,分分彩,很多人在业余时间玩分分彩，希望能够一夜暴富。,1,5,
23058_split,分分彩,玩分分彩的人需要谨慎，因为它是一种高风险的博彩游戏。,1,5,
23202_full,娱乐彩票,他买了一张娱乐彩票，希望能成为下一个大奖得主。,1,5,
23202_split,娱乐; 彩票,那天我们在家里选择了几张彩票作为娱乐活动，这感觉真是充满了期待和乐趣。,1,5,
24199_full,在线播放,我正在使用电脑观看在线视频播放的在线电影。,0,2,
24199_split,在线播放,这部电影可以通过在线播放的方式观看。,1,5,
24383_full,一区二区,中国分为多个行政区，每个区都有其自身的特点和政策。,0,0,
24383_split,一区; 二区,会议将分别在一区和二区举行，确保所有参会人员都能找到合适的席位。,1,5,
26447_full,官方网站,我在官方网站上找到了所有需要的信息。,1,5,
26447_split,官方网站,我们可以通过官方网站下载最新的软件更新。,1,5,
1889_full,天天,天天锻炼身体有助于保持健康。,1,5,
1889_split,天天,他每天都努力学习，天天取得进步。,1,4,
2314_full,中彩票,他从没想过自己会中彩票，但今天奇迹真的发生了。,1,5,
2314_split,中; 彩票,他在中午的时候去买了一张彩票。,1,5,
3606_full,大发,他在麻将桌上手气大发，赢了很多钱。,1,5,
3606_split,大发,他在彩票中赢得了头奖，心情非常激动，大发了一笔横财。,1,5,
3634_full,时时彩,许多人在网上讨论时时彩的中奖概率和玩法技巧。,1,5,
3634_split,时时; 彩,她总是时时关心着他人的需求，彩虹般的热情感染了身边的每一个人。,1,5,
9959_full,爱彩票,小明非常喜欢买彩票，因为他总是怀抱着一份中了大奖的美好幻想。,0,3,
9959_split,爱; 彩票,他对她的爱深沉而真挚，就像他对那张彩票满怀期待。,1,4,
12555_full,亚洲,亚洲是世界上面积最大和人口最多的洲。,1,5,
12555_split,亚洲,中国是亚洲的一个重要国家。,1,5,
14676_full,国产,这款手机是全新研发的国产品牌。,1,5,
14676_split,国产,许多国产电影在近年来获得了国际奖项的认可。,1,5,
14734_full,彩票,她买了一张彩票，希望能赢得大奖。,1,5,
14734_split,彩票,他买了一张彩票，希望能中奖。,1,5,
15154_full,微信,我通过微信与朋友保持联系。,1,5,
15154_split,微信,我们可以通过微信保持联系。,1,5,
15319_full,分分彩,我们计划今晚一起玩分分彩，希望能有好运气。,1,5,
15319_split,分分彩,在几分钟内了解分分彩计划的基本原理非常关键，以便能够做出更智能的投注决定。,1,5,
15439_full,北京,北京是中国的首都，拥有丰富的历史和文化遗产。,1,5,
15439_split,北京,我们计划明天去北京旅游。,1,5,
17428_full,日本,日本是一个拥有丰富文化和历史的国家。,1,5,
17428_split,日本,日本是一个有着丰富文化历史的国家。,1,5,
18671_full,欧美,她喜欢听欧美的流行音乐。,1,5,
18671_split,欧美,近年来，欧美之间的文化交流变得越来越频繁。,1,5,
18871_full,名無し,名無し在网络论坛中是指没有使用真实姓名或者固定用户名的用户。,1,5,
18871_split,名; 無; し,無名の花が静かに咲いている。,1,5,
19061_full,香港,香港是一个国际化大都市，是亚洲最重要的金融中心之一。,1,5,
19061_split,香港,香港是一个充满活力的国际大都市。,1,5,
19213_full,手机,我把手机忘在了家里，今天一整天都没法联系上任何人。,1,5,
19213_split,手机,我刚刚用手机拨打了一个重要的电话。,1,5,
19987_full,经彩票,我每天都会坚持买彩票，希望有一天能中大奖。,0,3,
19987_split,经; 彩票,我已经买了一张彩票，希望能够中奖。,1,5,
20373_full,��门,他轻轻推开门，走进了屋子里。,0,3,
20373_split,�; �; 门,门上的装饰缺了一个�，显得有些奇怪。,1,5,
20827_full,五分彩,我今天买了一张五分彩的彩票，希望能中奖。,1,5,
20827_split,五分; 彩,他在比赛中得到了五分，并且赢得了彩头。,1,5,
21771_full,久久,他久久地凝视着远方的夕阳，沉浸在回忆中。,1,5,
21771_split,久久,他在异国他乡生活了多年，久久没有回家。,1,3,
1049_full,彩�,彩虹在雨后天边悠然出现，宛如一幅美丽的画卷。,0,5,
1049_split,彩; �,六一儿童节的游乐场五彩缤纷，孩子们玩得很开心。,1,5,
1216_full,彩票,他买彩票中了百万大奖，改变了他的一生。,1,5,
1216_split,彩票,他走进了便利店，买了一张彩票，希望能赢得大奖。,1,5,
1487_full,天天,她天天都去公园锻炼身体。,1,5,
1487_split,天天,他天天早起跑步，锻炼身体。,1,5,
2865_full,大发,他的生意最近发展得特别顺利，利润也大发了。,1,4,
2865_split,大发,公司今年由于新产品的推出，盈利情况大发，超出了预期。,1,4,
3302_full,�京,北京是中国的首都，也是一座拥有丰富历史和文化的城市。,0,5,
3302_split,�; 京,京城的秋天美丽而清爽。,1,5,
3447_full,在线,通过在线学习平台，他成功提升了自己的技能。,1,5,
3447_split,在线,我正在使用在线工具学习汉语。,1,5,
3569_full,时时,他时时刻刻都在想着如何改进自己的工作方法。,1,5,
3569_split,时时,他时时刻刻都在想着如何改进自己的技术。,1,5,
3738_full,争霸,经过数月的激烈争霸，最终他获得了冠军的称号。,1,5,
3738_split,争霸,在这场国际象棋比赛中，两位棋手展开了激烈的争霸。,1,5,
3752_full,赛车,昨天的比赛中，那辆红色的赛车以惊人的速度赢得了冠军。,1,5,
3752_split,赛车,他驾驶着那辆红色的赛车在赛道上飞驰，速度快得让人目不暇接。,1,5,
3775_full,彩神,他被公认为是本地的彩神，任何难题到了他手里都能迎刃而解。,1,5,
3775_split,彩神,他被誉为计算机编程领域的彩神，解决了无数复杂的问题。,1,5,
3845_full,娱乐,周末我们去郊外度假村参加了一场非常有趣的娱乐活动。,1,5,
3845_split,娱乐,周末我和朋友们一起去看了一场精彩的电影，享受了一段愉快的娱乐时光。,1,3,
3939_full,视频,我昨天晚上看了一部非常有趣的视频。,1,5,
